coefficient,bootstrap_se,theoretical_se,relative_error,relative_error_pct
beta_0,0.047223146041496425,0.04746335311442075,0.0050608955575737365,0.5060895557573737
beta_1,0.047510247896128746,0.04761828894878948,0.0022688982541335025,0.22688982541335026
beta_2,0.047573344693070944,0.047678148094188764,0.0021981432859090847,0.21981432859090846
beta_3,0.04766850787078088,0.04758567995968939,0.0017406058116990752,0.17406058116990752
beta_4,0.04752317054007227,0.047812935513245475,0.006060388680651785,0.6060388680651785
