coefficient,bootstrap_se,theoretical_se,relative_error,relative_error_pct
beta_0,0.04753760679187193,0.0474172535257255,0.002538174550348832,0.2538174550348832
beta_1,0.047377149838483776,0.047661674927633825,0.005969682970270188,0.5969682970270187
beta_2,0.04763032497336844,0.04775118260075994,0.002530987104591029,0.2530987104591029
beta_3,0.04762361569117167,0.04761508387691842,0.00017918301425870446,0.017918301425870444
beta_4,0.047469024190953724,0.04786697390455963,0.008313659317578,0.8313659317577999
