coefficient,bootstrap_se,theoretical_se,relative_error,relative_error_pct
beta_0,0.04711488526998345,0.0474172535257255,0.006376755996169298,0.6376755996169298
beta_1,0.047537013372100055,0.047661674927633825,0.002615551294054339,0.2615551294054339
beta_2,0.04779785238193588,0.04775118260075994,0.0009773534106189829,0.09773534106189828
beta_3,0.04746384356844147,0.04761508387691842,0.0031763108696373317,0.31763108696373316
beta_4,0.047738241234477286,0.04786697390455963,0.002689383923433703,0.2689383923433703
