simulation,bootstrap_se_0,bootstrap_se_1,bootstrap_se_2,bootstrap_se_3,bootstrap_se_4,theoretical_se_0,theoretical_se_1,theoretical_se_2,theoretical_se_3,theoretical_se_4
0,0.047273440278630174,0.046692358178635596,0.05007151119487893,0.04668233738412358,0.04917424286821359,0.04756756928282807,0.04588286806764238,0.04915543797764033,0.046631756744735874,0.048748375668611746
1,0.04447985658599597,0.04715236682856443,0.04820076318419664,0.049252021296539474,0.04777558814333829,0.04626588395143877,0.04724840625509224,0.048273126756752424,0.04987824140121563,0.04854009439078887
2,0.05005694281419646,0.04774319566719444,0.04652860184629332,0.048982325173756544,0.051319375281881546,0.04754725320900598,0.048114832093311834,0.046282970447429246,0.04884629716031719,0.0498624737695724
3,0.04672971561385163,0.04583167390392813,0.050618202949197035,0.0495528832929902,0.04848918075438799,0.046013899899548245,0.045144608210366616,0.04769066176030319,0.047235699710437305,0.04825610546863123
4,0.046529223033466106,0.049119722926813096,0.045608994091676444,0.04918362656664797,0.04999587080686556,0.0486056153292789,0.04809006041832552,0.04618930348094515,0.047347583002547766,0.04876487467969796
5,0.048062931172806765,0.050392942083420454,0.05379259978937619,0.0477744752168787,0.047491932118836164,0.04740326074308426,0.04819755978714773,0.04984030862708108,0.048326344938317736,0.04852737276866066
6,0.0468511625713233,0.049912697847245786,0.048588565764450475,0.044665232497209384,0.04601820681399662,0.04735619428266567,0.04873990597765734,0.048335462228897,0.047683584548195636,0.048894471744407496
7,0.051694726937589815,0.04904495456894902,0.04876119038985082,0.0489017853659345,0.04978041072309039,0.048843015534597675,0.04896150959073639,0.049020271461188876,0.046707493936909004,0.04779766819001502
8,0.046552006191727044,0.04897589627986458,0.047877099716835736,0.04489034392524858,0.050065330294342715,0.047476814564290835,0.048164812855104086,0.047414654939861106,0.0464240939403265,0.04869312462301048
9,0.047131969548644716,0.05182570507149279,0.04846332261821095,0.04919650766851768,0.04566708334699672,0.046385650064972805,0.04770752193973698,0.046261070761684384,0.04737452896486568,0.04664528403759623
