simulation,bootstrap_se_0,bootstrap_se_1,bootstrap_se_2,bootstrap_se_3,bootstrap_se_4,theoretical_se_0,theoretical_se_1,theoretical_se_2,theoretical_se_3,theoretical_se_4
0,0.047273440278630265,0.04669235817863561,0.05007151119487892,0.04668233738412353,0.04917424286821361,0.04756756928282807,0.04588286806764238,0.04915543797764033,0.046631756744735874,0.048748375668611746
1,0.044479856585995896,0.047152366828564427,0.048200763184196777,0.04925202129653945,0.04777558814333825,0.04626588395143877,0.04724840625509224,0.048273126756752424,0.04987824140121563,0.04854009439078887
2,0.05005694281419653,0.04774319566719445,0.046528601846293434,0.04898232517375654,0.051319375281881525,0.04754725320900598,0.048114832093311834,0.046282970447429246,0.04884629716031719,0.0498624737695724
3,0.046729715613851495,0.045831673903928186,0.05061820294919706,0.04955288329299021,0.04848918075438803,0.046013899899548245,0.045144608210366616,0.04769066176030319,0.047235699710437305,0.04825610546863123
4,0.04652922303346604,0.049119722926813054,0.045608994091676305,0.049183626566647994,0.04999587080686545,0.0486056153292789,0.04809006041832552,0.04618930348094515,0.047347583002547766,0.04876487467969796
5,0.048062931172806744,0.05039294208342044,0.05379259978937628,0.04777447521687867,0.047491932118836226,0.04740326074308426,0.04819755978714773,0.04984030862708108,0.048326344938317736,0.04852737276866066
6,0.046851162571323324,0.04991269784724573,0.04858856576445045,0.04466523249720936,0.04601820681399664,0.04735619428266567,0.04873990597765734,0.048335462228897,0.047683584548195636,0.048894471744407496
7,0.05169472693758989,0.049044954568949015,0.04876119038985076,0.04890178536593448,0.04978041072309042,0.048843015534597675,0.04896150959073639,0.049020271461188876,0.046707493936909004,0.04779766819001502
8,0.046552006191727044,0.048975896279864636,0.047877099716835736,0.04489034392524858,0.050065330294342694,0.047476814564290835,0.048164812855104086,0.047414654939861106,0.0464240939403265,0.04869312462301048
9,0.04713196954864475,0.05182570507149277,0.04846332261821091,0.0491965076685177,0.045667083346996706,0.046385650064972805,0.04770752193973698,0.046261070761684384,0.04737452896486568,0.04664528403759623
10,0.04508624616028291,0.049125356041790524,0.04658293080399087,0.046338225465128405,0.04732361212478404,0.047302691817969277,0.049405147220130424,0.04854438052856015,0.04874616362966777,0.0461358124403656
11,0.0488985318749078,0.04430575381806269,0.049925556134769726,0.04782258113078238,0.05005131202121448,0.047600928786799494,0.04833388132967119,0.04890925453512184,0.046779329070985295,0.0500604628188824
12,0.04784388815157551,0.04495173670739241,0.04717294712995083,0.047460666480039625,0.0449761251411014,0.047374886305200654,0.04550021337319266,0.04680197301354652,0.04745360606598917,0.046782861922246795
13,0.04655698230507777,0.04576324715077665,0.044555056656542934,0.04363836948111657,0.04892215410481305,0.04912951561045624,0.04643776174590085,0.04721376013783364,0.04582481294140942,0.048048265234257544
14,0.048402942362328234,0.049691924938206344,0.049467140823656136,0.04965789012721851,0.053149219087283796,0.04696547520341584,0.047916199430193075,0.04845350247902024,0.04901664423422906,0.04904232413022915
15,0.0495988933125702,0.0468155829144638,0.047522163756834816,0.04690184315883663,0.04540237566777002,0.05020049735450057,0.04709700893426246,0.04734305933353729,0.04782693058401833,0.04741673418841346
16,0.04249612240785047,0.04706727516554961,0.043426278015229865,0.04546796301556876,0.04640474156945139,0.046496916878526674,0.047307499464264845,0.04782153845453396,0.047185615667052705,0.04754749686293254
17,0.04776262600905865,0.04708945906572046,0.04519682782420284,0.04795328724841014,0.046366686933791854,0.047501640767869974,0.04782602548103783,0.0485249393059316,0.04766730909307626,0.048527323344725676
18,0.04662055883192286,0.048854032703760396,0.04712047399484119,0.04830425957075655,0.0446418041173776,0.046885591118494975,0.0492771587071968,0.0480164825561794,0.0476245461277407,0.04586965792589738
19,0.04818408078445083,0.04753180159625472,0.04533141102016512,0.049885710956066566,0.04810166064801962,0.047467936780491764,0.0463693989568583,0.04630993874082627,0.04799477692141296,0.04592784450313655
