coefficient,true_value,mean_estimate,bias,variance,mse,coverage
beta_0,2.5,2.50057252132354,0.0005725213235399096,0.002290552995727498,0.0022885902233976733,0.943
beta_1,-1.8,-1.7993420142821237,0.0006579857178763415,0.0022632624848193464,0.0022614321675394583,0.949
beta_2,3.2,3.201567149413737,0.0015671494137370345,0.00221906272159108,0.0022192996161544587,0.942
beta_3,0.5,0.5004405684613144,0.0004405684613143501,0.00204685958032857,0.002045006821317349,0.958
beta_4,-0.7,-0.7039053823997994,-0.0039053823997994286,0.002236955866543214,0.0022499709223653356,0.946
