coefficient,true_value,mean_estimate,bias,variance,mse,coverage
beta_0,2.5,2.4980021484031694,-0.0019978515968306354,0.00999186508347519,0.009895937843643392,0.82
beta_1,-1.8,-1.8043558121395133,-0.004355812139513304,0.0032237888609461013,0.003210524071731373,0.97
beta_2,3.2,3.20378628102089,0.003786281020889959,0.004328412929474764,0.004299464724149159,0.95
beta_3,0.5,0.49880100240487335,-0.0011989975951266496,0.0036788060069686476,0.0036434555421320765,0.95
beta_4,-0.7,-0.7000778920309558,-7.789203095587283e-05,0.003983340444651129,0.003943513107373104,0.98
