coefficient,true_value,mean_estimate,bias,variance,mse,coverage
beta_0,2.5,2.504962682477284,0.004962682477283931,0.0021493164622010947,0.0021524515149494257,0.94
beta_1,-1.8,-1.801742571148638,-0.0017425711486378503,0.0020795306049061534,0.0020617718530651545,0.96
beta_2,3.2,3.193990101132954,-0.006009898867046282,0.0026868682924691043,0.002696118493936539,0.92
beta_3,0.5,0.4937711278020489,-0.006228872197951096,0.0024721859773038637,0.002486262966389233,0.93
beta_4,-0.7,-0.6965369124540685,0.003463087545931498,0.002547316360773852,0.0025338361725169016,0.94
