coefficient,true_value,mean_estimate,bias,variance,mse,coverage
beta_0,2.5,2.4980123495700832,-0.0019876504299167763,0.002562566428846229,0.002540891518789316,0.95
beta_1,-1.8,-1.8031985272455373,-0.0031985272455372638,0.0017015948835499533,0.0016948095112549017,0.98
beta_2,3.2,3.202770592869356,0.00277059286935577,0.002142363210695589,0.0021286157634363553,0.94
beta_3,0.5,0.49952393151502855,-0.00047606848497144805,0.002007451160051654,0.0019876032896535213,0.95
beta_4,-0.7,-0.6992961128111052,0.0007038871888948028,0.0018921086023116914,0.0018736829734632642,0.97
