simulation,beta_0_hat,beta_1_hat,beta_2_hat,beta_3_hat,beta_4_hat,ci_lower_0,ci_lower_1,ci_lower_2,ci_lower_3,ci_lower_4,ci_upper_0,ci_upper_1,ci_upper_2,ci_upper_3,ci_upper_4
0,2.3388336713928197,-1.8321989334644766,3.1772052783126936,0.47856700180141315,-0.7239777879476601,2.208485299093005,-1.9607233747131927,3.041142064024498,0.35706923802712914,-0.8682226983510667,2.45559692084208,-1.705165482380055,3.308566366087167,0.6069875482946339,-0.6021277542496297
1,2.5430936429990147,-1.8184925170573818,3.2079156199451724,0.5532904318364484,-0.7035363105991581,2.4163905685365545,-1.9460861168910972,3.0781604519950654,0.41784834913004304,-0.8362359972736653,2.6616870903618475,-1.6985736092772852,3.3372955545419067,0.6765765158755458,-0.573506110353316
2,2.4397296363403798,-1.8530981967159712,3.1009859888931715,0.38178962313630527,-0.691512401391787,2.2990005840430703,-1.9811960592165665,2.9793865006251297,0.2477752082712338,-0.8454579249437398,2.572515690328131,-1.7287013335859156,3.232583473708431,0.5099642815267517,-0.5534703037308485
3,2.428520893601978,-1.7913872021301982,3.181983476363119,0.47928177283126855,-0.7964693876331291,2.295043977183639,-1.9142583917526186,3.044109950622464,0.342800894601191,-0.9250709690015759,2.55115192519745,-1.6619413520865316,3.3202143526291943,0.6050603962176017,-0.6590278426355528
4,2.5888010217477726,-1.8125757449402826,3.2113493412266285,0.4695448436731608,-0.7630101704408889,2.4711513144885395,-1.9396845384391155,3.0830178843726754,0.3385637552928799,-0.8925176751922256,2.7149031448978187,-1.683298837908118,3.3299553492626863,0.5942551053348827,-0.6320430432147592
5,2.6358257013722297,-1.7909210990034425,3.168003311522157,0.38893687137289235,-0.7294537223836511,2.507256234845981,-1.9267350761494082,3.021864165527664,0.25611536352144,-0.8551285072776489,2.7853301059811693,-1.6571901612503512,3.3187534375603978,0.5143083607259965,-0.5921000413976246
6,2.5367137256444057,-1.7725780465742924,3.156393807409891,0.471937461567854,-0.5682890576919953,2.400090855918088,-1.9174702935231152,3.0270207593034177,0.34583290101028497,-0.7058061129641473,2.6613937482256995,-1.630689159250481,3.2886749742693735,0.5976552053717055,-0.44554458408104497
7,2.3888714817068424,-1.6952975401858452,3.1409563322378093,0.3728382086657058,-0.7873984699887991,2.259082902528859,-1.834384100555622,3.010399195024946,0.23666452763863288,-0.9255881942772776,2.5313823971108547,-1.5644833906375604,3.2815254659636,0.5113226257772043,-0.6322574057790665
8,2.442283528270755,-1.843811093560833,3.1451044710615577,0.5604531641445153,-0.6962209564056276,2.2997630428315587,-1.9827298593632374,3.008776077979798,0.431172114419323,-0.8383369166048847,2.5623858790967495,-1.7022709362216797,3.28795585254208,0.6805043748750061,-0.547634169902863
9,2.486461721787538,-1.7825277294897857,3.1647857588684194,0.5521413625084326,-0.6735403435497532,2.344236667944798,-1.935747322115849,3.046363720054123,0.4082225777479313,-0.7972226048496223,2.612636425055238,-1.651724649099865,3.2953097338469206,0.6847741891706236,-0.5389575348019895
10,2.567963566680783,-1.7603599439769417,3.2005025426242453,0.5504875132251383,-0.6647162524973231,2.4337902172609587,-1.8921803074475065,3.0787738210529727,0.42337462685780825,-0.7941181951822385,2.68758619664941,-1.6256436525829205,3.336156798447832,0.6967853795976686,-0.5273017607862629
