coefficient,true_value,mean_estimate,bias,variance,mse,coverage
beta_0,2.5,2.49960538710835,-0.00039461289164988145,0.002664310077412234,0.0026378226959723663,0.93
beta_1,-1.8,-1.8052199130299413,-0.005219913029941292,0.0027127572706016853,0.0027128771899358212,0.94
beta_2,3.2,3.2001829095799486,0.00018290957994837598,0.002350775378304718,0.0023273010804361082,0.95
beta_3,0.5,0.5005516723290605,0.0005516723290605041,0.002618874078475194,0.0025929896800490925,0.96
beta_4,-0.7,-0.6943423257637907,0.00565767423620922,0.002256811952538556,0.0022662531107762378,0.96
