simulation,central_beta_0,central_beta_1,central_beta_2,central_beta_3,central_beta_4,local_beta_0,local_beta_1,local_beta_2,local_beta_3,local_beta_4
0,2.4439506963265742,-1.7603428681794855,3.220713260443179,0.4627560356110941,-0.6945322575501827,2.443950696326574,-1.7603428681794866,3.220713260443182,0.46275603561109396,-0.6945322575501829
1,2.5729760665278065,-1.673665960418486,3.2174481121744276,0.5170427941308228,-0.7892922854716405,2.5729760665278074,-1.6736659604184865,3.217448112174426,0.5170427941308228,-0.789292285471641
2,2.487692487139852,-1.8646997118396578,3.2035066654594693,0.5482471367311429,-0.729466266074264,2.487692487139854,-1.864699711839658,3.203506665459468,0.5482471367311426,-0.7294662660742632
3,2.53930492655422,-1.8874626683339983,3.2199011330904845,0.4654510905320993,-0.7272883385418907,2.539304926554219,-1.8874626683339988,3.2199011330904863,0.4654510905320996,-0.7272883385418913
4,2.458628041643194,-1.831183739498517,3.1892661922324224,0.49840630972266686,-0.7248325794377657,2.4586280416431956,-1.8311837394985175,3.1892661922324215,0.49840630972266675,-0.7248325794377644
5,2.5558426805327557,-1.917003991069788,3.291718672762423,0.4678723002366195,-0.6572150214472916,2.5558426805327596,-1.9170039910697871,3.2917186727624195,0.467872300236619,-0.657215021447292
6,2.5114670097785203,-1.7353255645286738,3.2062609809134286,0.4660243061305837,-0.6887864439104826,2.5114670097785203,-1.7353255645286727,3.206260980913428,0.46602430613058377,-0.688786443910482
7,2.609820344695538,-1.868462010433775,3.1348979694684274,0.5031578266863973,-0.6574631149755183,2.6098203446955406,-1.8684620104337746,3.1348979694684274,0.5031578266863977,-0.6574631149755186
8,2.3590223137871784,-1.780107912190812,3.220426469211907,0.5568427858957581,-0.7468985478711377,2.359022313787179,-1.780107912190812,3.220426469211908,0.5568427858957582,-0.7468985478711376
9,2.4993138838661704,-1.8579000915727337,3.3459525742211986,0.5103021933531381,-0.7014192390442657,2.4993138838661717,-1.8579000915727346,3.345952574221197,0.5103021933531381,-0.701419239044266
10,2.4983785132704517,-1.797373635636631,3.18049048623692,0.5486668914824095,-0.6962837077949846,2.498378513270452,-1.7973736356366314,3.1804904862369194,0.5486668914824091,-0.6962837077949835
11,2.5127389952043755,-1.925465924007146,3.135933641014791,0.4973215183481769,-0.6686637556628727,2.5127389952043755,-1.925465924007146,3.13593364101479,0.4973215183481768,-0.6686637556628727
12,2.573001530309621,-1.8603725263783613,3.208287558300954,0.4572722735225405,-0.6481032075265379,2.5730015303096216,-1.8603725263783613,3.208287558300953,0.4572722735225406,-0.6481032075265376
13,2.556114900455622,-1.7740637825586014,3.184012625604354,0.41587042148417747,-0.7651563626588525,2.556114900455622,-1.7740637825586019,3.184012625604352,0.41587042148417735,-0.7651563626588523
14,2.455710203662169,-1.797768919878862,3.1771395829020666,0.4676478446643987,-0.7317059248051418,2.4557102036621687,-1.7977689198788618,3.1771395829020697,0.46764784466439807,-0.7317059248051422
15,2.5608257632872045,-1.7421327015055585,3.17923380970214,0.4784345254801934,-0.7347411744595627,2.5608257632872045,-1.742132701505557,3.1792338097021395,0.4784345254801935,-0.7347411744595623
16,2.4924045372392505,-1.8088572962176535,3.203069613421765,0.5182828357128655,-0.6884652976002538,2.4924045372392505,-1.8088572962176528,3.2030696134217655,0.5182828357128654,-0.6884652976002532
17,2.4399592996434007,-1.7768832176347273,3.25066953501749,0.5355063379544379,-0.6725331589252741,2.439959299643401,-1.776883217634728,3.250669535017492,0.5355063379544379,-0.6725331589252743
18,2.4810366161387543,-1.8622144477470135,3.2296076611835063,0.5137665721327074,-0.7378785119371262,2.481036616138754,-1.8622144477470146,3.2296076611835054,0.5137665721327067,-0.7378785119371273
19,2.4561924840171785,-1.7954608777469627,3.187004744397613,0.41930510768166174,-0.6882007763812725,2.4561924840171776,-1.7954608777469625,3.187004744397614,0.41930510768166174,-0.6882007763812718
