coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,-0.017355396274196355,0.0074326695694156095,0.9,-0.0173553962741968,0.007432669569415557,0.9,0.0034133440070991746,0.05
beta_1,-0.0024447080929372866,0.002260098921601628,1.0,-0.0024447080929377307,0.002260098921601618,1.0,0.0031931569254367224,0.046
beta_2,-0.025169283183126723,0.003291328819587452,0.95,-0.025169283183124946,0.0032913288195874314,1.0,0.003510274421225297,0.04
beta_3,-0.008636951039141139,0.005511588332616636,0.95,-0.008636951039141028,0.005511588332616632,0.95,0.0031025680967998875,0.038
beta_4,0.01103420345936279,0.0038344516705194225,0.95,0.011034203459363234,0.003834451670519425,0.9,0.004503231748512016,0.038
