coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,0.003754356656390012,0.0023934979908293457,0.9,0.003754356656389568,0.0023934979908293522,0.9,0.0039232478164196866,0.062
beta_1,-0.007545091388764247,0.0028129146592007844,1.0,-0.007545091388764247,0.0028129146592007796,1.0,0.003668325790629555,0.052
beta_2,-0.0010175195758712618,0.00404559660363353,0.8,-0.0010175195758708178,0.004045596603633563,0.8,0.004479662525625028,0.062
beta_3,-0.01180571673801617,0.0034860591696188755,0.9,-0.011805716738016225,0.0034860591696188755,0.85,0.004048512097694015,0.052
beta_4,0.0008697246690310134,0.0030412568954302915,0.85,0.0008697246690311244,0.003041256895430263,0.95,0.0026861545238241608,0.048
