coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,0.003219064703992025,0.0033653133661537397,0.9,0.0032190647039929132,0.0033653133661537883,0.9,0.0044826688703085964,0.068
beta_1,-0.01583739236887216,0.004228642955389777,0.85,-0.01583739236887216,0.004228642955389786,0.85,0.0054812056673906005,0.068
beta_2,0.009277064387948286,0.0022525886557479024,0.9,0.009277064387948286,0.0022525886557478603,0.9,0.0029061115997531693,0.056
beta_3,-0.007591144625305357,0.0015911116121365893,1.0,-0.007591144625305468,0.0015911116121365885,1.0,0.0025067178269651794,0.042
beta_4,-0.0074462986038160706,0.0014403923597010341,1.0,-0.0074462986038158485,0.0014403923597010378,1.0,0.0019149066230023859,0.034
