coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,-0.0131300180009144,0.00178012960997035,1.0,-0.0131300180009144,0.0017801296099703465,1.0,0.0020240648832464073,0.042
beta_1,-0.005213508355088381,0.0013271582237984582,1.0,-0.005213508355087493,0.0013271582237984272,1.0,0.002511005341522183,0.04
beta_2,-0.015572657871794071,0.0020735612987584783,0.9,-0.015572657871793627,0.0020735612987584657,0.9,0.001847553305973166,0.04
beta_3,-0.006655613969458407,0.0026692220170185426,0.95,-0.006655613969458352,0.002669222017018546,0.95,0.002957737005600565,0.036
beta_4,0.003219677759100925,0.0015444059290000835,0.95,0.003219677759100925,0.0015444059290000932,0.95,0.002164495943715681,0.032
