coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,0.013568576577469571,0.010956374593695604,0.85,0.013568576577469571,0.010956374593695594,0.8,0.005439033190254022,0.054800000000000015
beta_1,-0.012100113524705858,0.002534137504915054,1.0,-0.012100113524706302,0.002534137504915067,1.0,0.005509225696619095,0.05390000000000002
beta_2,0.001995844585616524,0.0061993129574203845,0.9,0.00199584458561608,0.006199312957420412,0.95,0.005270429704732387,0.05230000000000003
beta_3,-0.0049534277891782885,0.003778510907617593,0.95,-0.0049534277891782885,0.0037785109076175884,0.95,0.005966988221011679,0.06260000000000002
beta_4,0.018393072714455894,0.0033222769711394587,1.0,0.018393072714456005,0.0033222769711394825,1.0,0.0053524990379755655,0.05490000000000002
