coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,-0.015030008026204467,0.0026819104538827643,0.95,-0.015030008026204023,0.002681910453882785,0.95,0.003503695623402222,0.05220000000000001
beta_1,-0.007203533067543733,0.0011245152282292666,1.0,-0.0072035330675432885,0.0011245152282292295,1.0,0.0036658910827933404,0.0548
beta_2,0.007288318518160697,0.0024334846066336444,0.85,0.007288318518161585,0.002433484606633596,0.9,0.003841039148786492,0.049900000000000014
beta_3,0.0011307795957061773,0.0036636165049977096,0.85,0.0011307795957061773,0.0036636165049977036,0.85,0.0034349265337389376,0.053900000000000024
beta_4,0.020913415156891713,0.001554811638843839,0.95,0.020913415156891824,0.001554811638843843,0.95,0.00404401727747451,0.05270000000000001
