coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,0.013312301693281459,0.003722919680564153,0.85,0.013312301693281015,0.0037229196805641323,0.8,0.003631257600735103,0.05070000000000001
beta_1,0.002129522901998415,0.002126809167031726,0.95,0.002129522901998415,0.002126809167031735,0.9,0.0036149335176957746,0.054900000000000004
beta_2,-0.010385429051936068,0.002762458267267151,0.9,-0.010385429051936068,0.0027624582672671877,0.85,0.0034702464220153968,0.04980000000000001
beta_3,-0.0019164324951216338,0.0016530138207011004,1.0,-0.0019164324951216893,0.0016530138207011085,1.0,0.004176511154482173,0.058200000000000016
beta_4,0.00068526878370756,0.002289196845578552,0.95,0.0006852687837073379,0.002289196845578531,0.95,0.003880025853975314,0.0506
