coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,0.011746659203747178,0.0017843049076275875,1.0,0.011746659203747178,0.0017843049076276094,1.0,0.003770339502593801,0.0538
beta_1,0.0005420108876741381,0.0016014442923906781,0.95,0.0005420108876741381,0.001601444292390673,0.95,0.0036184147436796425,0.05140000000000002
beta_2,-0.008169564406002916,0.002566005465872284,0.9,-0.008169564406002028,0.002566005465872211,0.9,0.003755635391760919,0.0548
beta_3,-0.011542230835955625,0.002145613449521627,0.9,-0.011542230835955625,0.0021456134495216267,0.95,0.003508228559798055,0.05240000000000002
beta_4,0.0045418772934427976,0.003413639234222576,0.95,0.0045418772934427976,0.0034136392342225723,0.85,0.0035556439006503167,0.04850000000000001
