n,avg_coverage,mean_bias,mean_variance,mean_mse,bias_beta_0,variance_beta_0,mse_beta_0,coverage_beta_0,bias_beta_1,variance_beta_1,mse_beta_1,coverage_beta_1,bias_beta_2,variance_beta_2,mse_beta_2,coverage_beta_2,bias_beta_3,variance_beta_3,mse_beta_3,coverage_beta_3,bias_beta_4,variance_beta_4,mse_beta_4,coverage_beta_4
100,0.9466666666666667,0.00499099361718931,0.020659885298000558,0.020194416857425374,-0.006377785270180514,0.02926005380225893,0.028325394820469484,0.9,0.010336195295744144,0.020076085696959817,0.019513719773586246,0.9666666666666667,-0.011212859605270076,0.015807946300199167,0.015406742977386676,0.9666666666666667,0.003376640998204228,0.0189560236252924,0.01833555787554674,0.9333333333333333,0.028832776667448767,0.01919931706529248,0.019390668840137706,0.9666666666666667
500,0.9466666666666667,0.0007080382261053896,0.004892101575292613,0.0047586961756473384,-0.0012561559988104598,0.006489392966313663,0.006274657795329889,0.9333333333333333,0.0028821931660354405,0.003077140369706489,0.002982876061495945,0.9666666666666667,0.00910086968117918,0.006071408921174721,0.005951854452756031,0.9,0.00026591853852975245,0.0049568571693953825,0.004791699309751338,0.9333333333333333,-0.007452634256406965,0.003865708449872812,0.0037923932589034896,1.0
1000,0.9466666666666667,-0.00477371540408873,0.00211076940820385,0.002121961720200029,0.00612404692680224,0.0018760531331711778,0.0018510219794938118,0.9666666666666667,-0.008959156371767918,0.0017388530080863994,0.0017611577240439801,0.9333333333333333,-0.01474362304114818,0.0020726791326837806,0.002220964248640462,0.9333333333333333,-0.008284500809236373,0.0017997006104551567,0.0018083435437648901,0.9333333333333333,0.001994656274906581,0.003066561156622734,0.002968321105056999,0.9666666666666667
5000,0.9533333333333334,-0.0004136968972105359,0.0003946065572002641,0.00038733571023387696,0.0001618501991051957,0.0002633688191403102,0.00025461605398925034,1.0,-0.004600241671606664,0.00040556831315278975,0.0004132115928182149,0.9333333333333333,0.001396452109063251,0.0004154296844494158,0.00040353210679400925,0.9333333333333333,0.002189845180548322,0.0005671851541924289,0.0005530744043007852,0.9,-0.0012163903031627843,0.00032148081506637585,0.00031224439326712507,1.0
10000,0.9466666666666667,0.0013495523725673753,0.00020106819840783868,0.00020639638791680243,-0.0007350727482724473,0.0001090416850062385,0.00010594729411795023,1.0,-0.00331752520846873,0.0001963510532096353,0.00020081199161147047,0.9,0.005887994714518285,0.00018514141309484777,0.00021363851441655375,0.9333333333333333,0.0014887474717248939,0.00027520629229124606,0.0002682491182494386,0.9333333333333333,0.0034236176333348745,0.00023960054843722583,0.00024333502118859915,0.9666666666666667
