n,central_avg_coverage,local_avg_coverage,mean_wasserstein,mean_ks,central_bias_0,local_bias_0,central_mse_0,local_mse_0,central_coverage_0,local_coverage_0,wasserstein_0,ks_0,central_bias_1,local_bias_1,central_mse_1,local_mse_1,central_coverage_1,local_coverage_1,wasserstein_1,ks_1,central_bias_2,local_bias_2,central_mse_2,local_mse_2,central_coverage_2,local_coverage_2,wasserstein_2,ks_2,central_bias_3,local_bias_3,central_mse_3,local_mse_3,central_coverage_3,local_coverage_3,wasserstein_3,ks_3,central_bias_4,local_bias_4,central_mse_4,local_mse_4,central_coverage_4,local_coverage_4,wasserstein_4,ks_4
100,0.8666666666666668,0.8666666666666666,0.012972518093686197,0.05570666666666667,0.06764786595407202,0.06764786595407246,0.04109527524916472,0.041095275249164814,0.8,0.8,0.013083326711406978,0.0568,0.013513407297283786,0.013513407297283786,0.04627081136542275,0.0462708113654227,0.8666666666666667,0.8666666666666667,0.01515789788472785,0.059866666666666665,0.032515947382981025,0.032515947382981025,0.030602702057657912,0.030602702057657766,0.8,0.8666666666666667,0.011857404838124993,0.053333333333333344,0.008944402223835524,0.008944402223835746,0.030731926331034123,0.030731926331034085,0.9333333333333333,0.8666666666666667,0.012605325450000187,0.05346666666666667,0.03910462365825973,0.03910462365825973,0.02397353354238873,0.023973533542388733,0.9333333333333333,0.9333333333333333,0.012158635584170983,0.055066666666666673
500,0.96,0.9333333333333333,0.005702054294815255,0.055386666666666674,0.0316147524186543,0.031614752418654746,0.0034695928442872834,0.0034695928442873424,1.0,0.9333333333333333,0.007604233109049788,0.06266666666666666,0.024319119406594814,0.0243191194065957,0.008787651446044525,0.008787651446044507,0.8,0.8,0.005473146661319133,0.05573333333333332,-0.0014604832539091284,-0.0014604832539091284,0.006129464993057523,0.0061294649930575575,1.0,0.9333333333333333,0.0054876982926070576,0.05533333333333334,-0.012316984883036786,-0.01231698488303673,0.0020793148680290263,0.002079314868029034,1.0,1.0,0.005272585579389311,0.05413333333333334,0.011478818128021429,0.011478818128021429,0.0031371408263651895,0.0031371408263651955,1.0,1.0,0.004672607831710985,0.049066666666666675
1000,0.9466666666666667,0.9333333333333333,0.0037075889845885014,0.053120000000000014,-0.006100081881423414,-0.006100081881423858,0.0022009710931256404,0.002200971093125697,0.9333333333333333,0.8666666666666667,0.003983103783876032,0.05293333333333335,-0.016256218436759173,-0.01625621843675873,0.002178172983574594,0.0021781729835745945,0.9333333333333333,0.9333333333333333,0.003310497888905099,0.047733333333333336,-0.006857382053661265,-0.006857382053661265,0.0022550538274427254,0.0022550538274427314,0.9333333333333333,0.9333333333333333,0.0037864162288458753,0.056400000000000006,0.014673163003260936,0.014673163003261158,0.0017861872433957177,0.0017861872433957181,1.0,1.0,0.0037244888562602873,0.052266666666666683,0.017972286025614848,0.017972286025614626,0.0025434233648425827,0.002543423364842568,0.9333333333333333,0.9333333333333333,0.003733438165055214,0.05626666666666667
5000,0.96,0.9466666666666667,0.001770928440937941,0.05576000000000001,-0.0029886108805148304,-0.0029886108805152745,0.00031096809310520406,0.00031096809310520145,0.9333333333333333,0.9333333333333333,0.0018874127861553413,0.0604,-0.006257662304494982,-0.006257662304495204,0.0004896997430905109,0.0004896997430905226,0.9333333333333333,1.0,0.0017257103602375777,0.05693333333333335,-0.007467918427175757,-0.007467918427177533,0.0004085091115571865,0.0004085091115571895,1.0,1.0,0.0019454947506831616,0.05613333333333334,0.006290965823831929,0.006290965823831707,0.0003028172487845395,0.00030281724878453213,1.0,1.0,0.0016574047782993405,0.05240000000000001,-0.0006479159865341311,-0.000647915986533687,0.0007185171414534627,0.0007185171414534591,0.9333333333333333,0.8,0.0016386195293142853,0.052933333333333346
10000,0.96,0.96,0.0011253205956541596,0.05104000000000001,-0.00483517805255218,-0.0048351780525530685,0.00013890684511734452,0.0001389068451173733,1.0,1.0,0.0011913295956018268,0.055466666666666685,-0.0061570196729734405,-0.006157019672971664,0.00030302007492958064,0.0003030200749295549,0.8666666666666667,0.8666666666666667,0.0012849541836131304,0.053200000000000004,0.0004650869834552651,0.0004650869834561533,0.00011634934210755483,0.00011634934210755579,1.0,1.0,0.0009819169981668135,0.04506666666666667,-0.006071876180479885,-0.00607187618047994,0.00032317629357961683,0.0003231762935796079,0.9333333333333333,0.9333333333333333,0.0009981760080408548,0.048933333333333336,-0.0012385084252005685,-0.0012385084252002354,0.00017721562786019617,0.0001772156278601981,1.0,1.0,0.0011702261928481722,0.05253333333333335
