coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,-0.034430361525970454,0.022660447337532714,1.0,-0.03443036152596868,0.022660447337533217,0.95,0.011431233535440158,0.048
beta_1,0.02191763276011649,0.01542998763350648,1.0,0.021917632760118932,0.015429987633508089,1.0,0.013421569652311107,0.05380000000000003
beta_2,-0.02358663888024548,0.021023418340842245,0.95,-0.023586638880251698,0.02102341834084339,0.9,0.013978132454020322,0.06010000000000001
beta_3,0.03286740474065164,0.014288091772850234,0.95,0.03286740474064431,0.014288091772848923,0.95,0.013135232278256337,0.05880000000000003
beta_4,-0.003430023651147418,0.029035969698681368,0.9,-0.003430023651137759,0.0290359696986847,0.9,0.01413676948742621,0.06340000000000001
