coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,-0.0021743470030815004,0.002312484855355624,0.9,-0.002174347003060184,0.002312484855354309,0.9,0.003392205995668876,0.05180000000000003
beta_1,-0.01798219466219453,0.0017457666335186945,1.0,-0.017982194662198747,0.0017457666335193589,1.0,0.0033213251501005717,0.05010000000000001
beta_2,-0.002863659012489528,0.0019481231127150094,1.0,-0.0028636590124992978,0.001948123112715513,1.0,0.0032963855907038203,0.04940000000000001
beta_3,0.004855228528042432,0.0016588588502287852,0.95,0.0048552285280411,0.0016588588502281336,0.95,0.003433256464730431,0.050900000000000015
beta_4,0.025355635118954334,0.0022586736680246617,1.0,0.02535563511894734,0.0022586736680231907,1.0,0.0037332962757971057,0.051400000000000015
