coefficient,central_bias,central_mse,central_coverage,local_bias,local_mse,local_coverage,wasserstein,ks_distance
beta_0,-0.0007519247259724082,0.0033655650063749375,0.95,-0.0007519247259621942,0.003365565006373493,0.95,0.005466901743983861,0.05560000000000002
beta_1,0.012100824352296868,0.0038250827803573218,0.95,0.012100824352306194,0.003825082780357375,0.95,0.005478356670128778,0.056500000000000015
beta_2,-0.01025817712276833,0.0040386729950933715,1.0,-0.010258177122777656,0.004038672995094192,0.95,0.004796868380346426,0.0531
beta_3,0.020771243368618797,0.0043729981058322365,0.9,0.020771243368628123,0.004372998105832545,0.9,0.005610966012303022,0.056500000000000015
beta_4,-0.01999229993051055,0.005239503725820232,0.9,-0.019992299930529644,0.005239503725816939,0.9,0.0055264122872217365,0.052900000000000016
